Picador USA,6 Raven Court,(832) 811-4885
HarperFlamingoCanada,45900 Iowa Way,(832) 906-3524
HarperPerennial,33 Cardinal Alley,(832) 846-5566
Farrar,68 Old Shore Lane,(713) 991-3418
G. P. Putnam's Sons,0 Brentwood Place,(832) 924-8327
Berkley Trade,41544 Anniversary Crossing,(713) 948-8236
Random House,844 Union Way,(832) 535-5154
Scribner,9127 Farragut Center,(832) 923-5725
Emblem Editions,729 Kenwood Court,(713) 703-1311
Citadel,8 Nevada Place,(832) 742-8738
House Of Anansi Press,4463 Commercial Circle,(832) 852-3133
Mira Books,4978 Cordelia Way,(832) 886-7232
Kensington,676 David Road,(832) 976-0450
River City Pub,29 Dexter Circle,(832) 900-3590
Dell,18784 Browning Circle,(832) 974-1505
Longman,4 Hoffman Street,(713) 915-0820
Cypress House,5 Swallow Avenue,(832) 928-8965
HarperEntertainment,54494 Kenwood Trail,(832) 817-5662
Scholastic,2 Reinke Lane,(832) 325-6683
Too Far Pub,578 Westend Pass,(832) 893-0831
